_id,Station Code,State,State Code,District,District Code,Block Name,Block Code,Location Name,Location Code,Basin,Basin Code,Sub Basin,Sub Basin Code,Latitude,Longitude,Monitoring Date,Water Discharge
52,KCCCB4GMYS23,Karnataka,10,Mysuru,186,T Narsipur,130,Cauvery_Bannur,Cauvery_Bannur,Cauvery,9,Middle Cauvery,233,12.31973972,76.84117139,21-02-2021,49.06
53,KCCCB4GMYS23,Karnataka,10,Mysuru,186,T Narsipur,130,Cauvery_Bannur,Cauvery_Bannur,Cauvery,9,Middle Cauvery,233,12.31973972,76.84117139,22-02-2021,45.4
54,KCCCB4GMYS23,Karnataka,10,Mysuru,186,T Narsipur,130,Cauvery_Bannur,Cauvery_Bannur,Cauvery,9,Middle Cauvery,233,12.31973972,76.84117139,23-02-2021,44.7
55,KCCCB4GMYS23,Karnataka,10,Mysuru,186,T Narsipur,130,Cauvery_Bannur,Cauvery_Bannur,Cauvery,9,Middle Cauvery,233,12.31973972,76.84117139,24-02-2021,41.6
56,KCCCB4GMYS23,Karnataka,10,Mysuru,186,T Narsipur,130,Cauvery_Bannur,Cauvery_Bannur,Cauvery,9,Middle Cauvery,233,12.31973972,76.84117139,25-02-2021,39.88
57,KCCCB4GMYS23,Karnataka,10,Mysuru,186,T Narsipur,130,Cauvery_Bannur,Cauvery_Bannur,Cauvery,9,Middle Cauvery,233,12.31973972,76.84117139,26-02-2021,39.47
58,KCCCB4GMYS23,Karnataka,10,Mysuru,186,T Narsipur,130,Cauvery_Bannur,Cauvery_Bannur,Cauvery,9,Middle Cauvery,233,12.31973972,76.84117139,27-02-2021,39.29
59,KCCCB4GMYS23,Karnataka,10,Mysuru,186,T Narsipur,130,Cauvery_Bannur,Cauvery_Bannur,Cauvery,9,Middle Cauvery,233,12.31973972,76.84117139,28-02-2021,39.99
60,KCCCB4GMYS23,Karnataka,10,Mysuru,186,T Narsipur,130,Cauvery_Bannur,Cauvery_Bannur,Cauvery,9,Middle Cauvery,233,12.31973972,76.84117139,01-03-2021,30.507
61,KCCCB4GMYS23,Karnataka,10,Mysuru,186,T Narsipur,130,Cauvery_Bannur,Cauvery_Bannur,Cauvery,9,Middle Cauvery,233,12.31973972,76.84117139,02-03-2021,20.007
62,KCCCB4GMYS23,Karnataka,10,Mysuru,186,T Narsipur,130,Cauvery_Bannur,Cauvery_Bannur,Cauvery,9,Middle Cauvery,233,12.31973972,76.84117139,03-03-2021,18.254
63,KCCCB4GMYS23,Karnataka,10,Mysuru,186,T Narsipur,130,Cauvery_Bannur,Cauvery_Bannur,Cauvery,9,Middle Cauvery,233,12.31973972,76.84117139,04-03-2021,15.964
64,KCCCB4GMYS23,Karnataka,10,Mysuru,186,T Narsipur,130,Cauvery_Bannur,Cauvery_Bannur,Cauvery,9,Middle Cauvery,233,12.31973972,76.84117139,05-03-2021,15.238
65,KCCCB4GMYS23,Karnataka,10,Mysuru,186,T Narsipur,130,Cauvery_Bannur,Cauvery_Bannur,Cauvery,9,Middle Cauvery,233,12.31973972,76.84117139,06-03-2021,15.107
66,KCCCB4GMYS23,Karnataka,10,Mysuru,186,T Narsipur,130,Cauvery_Bannur,Cauvery_Bannur,Cauvery,9,Middle Cauvery,233,12.31973972,76.84117139,07-03-2021,15.078
67,KCCCB4GMYS23,Karnataka,10,Mysuru,186,T Narsipur,130,Cauvery_Bannur,Cauvery_Bannur,Cauvery,9,Middle Cauvery,233,12.31973972,76.84117139,08-03-2021,14.353
68,KCCCB4GMYS23,Karnataka,10,Mysuru,186,T Narsipur,130,Cauvery_Bannur,Cauvery_Bannur,Cauvery,9,Middle Cauvery,233,12.31973972,76.84117139,09-03-2021,13.245
69,KCCCB4GMYS23,Karnataka,10,Mysuru,186,T Narsipur,130,Cauvery_Bannur,Cauvery_Bannur,Cauvery,9,Middle Cauvery,233,12.31973972,76.84117139,10-03-2021,13.214
70,KCCCB4GMYS23,Karnataka,10,Mysuru,186,T Narsipur,130,Cauvery_Bannur,Cauvery_Bannur,Cauvery,9,Middle Cauvery,233,12.31973972,76.84117139,11-03-2021,13.154
71,KCCCB4GMYS23,Karnataka,10,Mysuru,186,T Narsipur,130,Cauvery_Bannur,Cauvery_Bannur,Cauvery,9,Middle Cauvery,233,12.31973972,76.84117139,12-03-2021,13.159
72,KCCCB4GMYS23,Karnataka,10,Mysuru,186,T Narsipur,130,Cauvery_Bannur,Cauvery_Bannur,Cauvery,9,Middle Cauvery,233,12.31973972,76.84117139,13-03-2021,13.172
